"","Year","Month","Day","Hour","lat","long","Date","DateTime"
"1","2014","10","31","09",46.7559788069056,-91.7063871449206,"2014-10-31","2014-10-31 09:00"
"2","2014","10","31","10",46.7460446383383,-91.7038614316389,"2014-10-31","2014-10-31 10:00"
"3","2014","10","31","11",46.7388729747115,-91.70415315627,"2014-10-31","2014-10-31 11:00"
"4","2014","10","31","12",46.745439945987,-91.7040088534961,"2014-10-31","2014-10-31 12:00"
"5","2014","10","31","13",46.7555333753271,-91.7032332520625,"2014-10-31","2014-10-31 13:00"
"6","2014","10","31","14",46.7660692742267,-91.700221229711,"2014-10-31","2014-10-31 14:00"
"7","2014","10","31","15",46.7755680111447,-91.6981521855847,"2014-10-31","2014-10-31 15:00"
"8","2014","10","31","16",46.7794443258945,-91.6874167547797,"2014-10-31","2014-10-31 16:00"
"9","2014","10","31","17",46.7810325710439,-91.6707312399534,"2014-10-31","2014-10-31 17:00"
"10","2014","10","31","18",46.7821127901204,-91.6539079629939,"2014-10-31","2014-10-31 18:00"
"11","2014","10","31","19",46.7821657349193,-91.6375966102427,"2014-10-31","2014-10-31 19:00"
"12","2014","10","31","20",46.7840872794415,-91.6234551015621,"2014-10-31","2014-10-31 20:00"
"13","2014","10","31","21",46.7888114318505,-91.6086097300873,"2014-10-31","2014-10-31 21:00"
"14","2014","10","31","22",46.7937784630702,-91.5921200683517,"2014-10-31","2014-10-31 22:00"
"15","2014","10","31","23",46.7975099196564,-91.5760317777772,"2014-10-31","2014-10-31 23:00"
"16","2014","11","01","00",46.800367985799,-91.5604763452289,"2014-11-01","2014-11-01 00:00"
"17","2014","11","01","01",46.8042829533514,-91.5457785649871,"2014-11-01","2014-11-01 01:00"
"18","2014","11","01","02",46.8081672954256,-91.5298291861948,"2014-11-01","2014-11-01 02:00"
"19","2014","11","01","03",46.8112251529235,-91.5142735440273,"2014-11-01","2014-11-01 03:00"
"20","2014","11","01","04",46.8139622232504,-91.5002173936137,"2014-11-01","2014-11-01 04:00"
"21","2014","11","01","05",46.814153333322,-91.4860281009609,"2014-11-01","2014-11-01 05:00"
"22","2014","11","01","06",46.8139866301979,-91.4694362647171,"2014-11-01","2014-11-01 06:00"
"23","2014","11","01","07",46.8149125508544,-91.4526171232669,"2014-11-01","2014-11-01 07:00"
"24","2014","11","01","08",46.8159547798905,-91.4376109200825,"2014-11-01","2014-11-01 08:00"
"25","2014","11","01","09",46.8225735359182,-91.4314092045211,"2014-11-01","2014-11-01 09:00"
"26","2014","11","01","10",46.835104774841,-91.4302512478472,"2014-11-01","2014-11-01 10:00"
"27","2014","11","01","11",46.8476005821615,-91.4288888774726,"2014-11-01","2014-11-01 11:00"
"28","2014","11","01","12",46.8595653514323,-91.4276043409759,"2014-11-01","2014-11-01 12:00"
"29","2014","11","01","13",46.8712434873985,-91.4271490412807,"2014-11-01","2014-11-01 13:00"
"30","2014","11","01","14",46.8791275508102,-91.4252437668773,"2014-11-01","2014-11-01 14:00"
"31","2014","11","01","15",46.8720792749759,-91.4281867248073,"2014-11-01","2014-11-01 15:00"
"32","2014","11","01","16",46.8603182784823,-91.4315572821017,"2014-11-01","2014-11-01 16:00"
"33","2014","11","01","17",46.8499604281636,-91.43502172605,"2014-11-01","2014-11-01 17:00"
"34","2014","11","01","18",46.839255639233,-91.4377029476837,"2014-11-01","2014-11-01 18:00"
"35","2014","11","01","19",46.8282509034721,-91.4408475790245,"2014-11-01","2014-11-01 19:00"
"36","2014","11","01","20",46.8182704454172,-91.4431004892917,"2014-11-01","2014-11-01 20:00"
"37","2014","11","01","21",46.8090212250144,-91.4455261640277,"2014-11-01","2014-11-01 21:00"
"38","2014","11","01","22",46.7997868698694,-91.4500967158139,"2014-11-01","2014-11-01 22:00"
"39","2014","11","01","23",46.7948782092764,-91.4536382983058,"2014-11-01","2014-11-01 23:00"
"40","2014","11","02","00",46.8026831934891,-91.4615078797557,"2014-11-02","2014-11-02 00:00"
"41","2014","11","02","01",46.8124861114392,-91.4688042940883,"2014-11-02","2014-11-02 01:00"
"42","2014","11","02","02",46.8227798101859,-91.4757531285657,"2014-11-02","2014-11-02 02:00"
"43","2014","11","02","03",46.8330746425067,-91.4826890437157,"2014-11-02","2014-11-02 03:00"
"44","2014","11","02","04",46.842745186591,-91.4890264507584,"2014-11-02","2014-11-02 04:00"
"45","2014","11","02","05",46.8520752229316,-91.4953288409932,"2014-11-02","2014-11-02 05:00"
"46","2014","11","02","06",46.8615309723179,-91.5013129339407,"2014-11-02","2014-11-02 06:00"
"47","2014","11","02","07",NA,NA,"2014-11-02","2014-11-02 07:00"
"48","2014","11","02","08",NA,NA,"2014-11-02","2014-11-02 08:00"
"49","2014","11","02","09",NA,NA,"2014-11-02","2014-11-02 09:00"
"50","2014","11","02","10",NA,NA,"2014-11-02","2014-11-02 10:00"
"51","2014","11","02","11",NA,NA,"2014-11-02","2014-11-02 11:00"
"52","2014","11","02","12",NA,NA,"2014-11-02","2014-11-02 12:00"
"53","2014","11","02","13",NA,NA,"2014-11-02","2014-11-02 13:00"
"54","2014","11","02","14",46.7914519440522,-91.5203891871527,"2014-11-02","2014-11-02 14:00"
"55","2014","11","02","15",46.7990150015379,-91.5231601061648,"2014-11-02","2014-11-02 15:00"
"56","2014","11","02","16",46.8085657806284,-91.5282903286372,"2014-11-02","2014-11-02 16:00"
"57","2014","11","02","17",46.8187105281432,-91.5352305059699,"2014-11-02","2014-11-02 17:00"
"58","2014","11","02","18",46.8293151931932,-91.543622075723,"2014-11-02","2014-11-02 18:00"
"59","2014","11","02","19",46.8381788312679,-91.5545629838023,"2014-11-02","2014-11-02 19:00"
"60","2014","11","02","20",46.8437128499953,-91.5656819611418,"2014-11-02","2014-11-02 20:00"
"61","2014","11","02","21",46.8377388999149,-91.5722156039242,"2014-11-02","2014-11-02 21:00"
"62","2014","11","02","22",46.827461063024,-91.5732433906132,"2014-11-02","2014-11-02 22:00"
"63","2014","11","02","23",46.8161142566748,-91.5737658287099,"2014-11-02","2014-11-02 23:00"
"64","2014","11","03","00",46.8050958590525,-91.5745354601689,"2014-11-03","2014-11-03 00:00"
"65","2014","11","03","01",46.7943797425065,-91.5756890525994,"2014-11-03","2014-11-03 01:00"
